"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"486","0",11,"5","PUBLIC",9,8,296,"0","EXISTING","April","1",1399,"S","1",10,10
"489","0",26,"6","PUBLIC",8,8,975,"0","EXISTING","April","0",740,"L","1",8.83,6
"490","0",17,"5","CHD",12,12,603,"1","EXISTING","April","1",1007,"M-L","1",10,9.58
"494","0",0,"7","PUBLIC",1,7.91,636.13,"0","NEW","April","0",1000.44,"","0",8,7.69
"498","0",4,"5","PUBLIC",12,8,415,"0","EXISTING","April","1",665,"S-M","1",10,9
"507","0",13,"5","PUBLIC",9,8,658,"0","EXISTING","April","1",943,"M-L","1",10,9.82
"509","0",19,"5","PUBLIC",8,8,1000,"0","EXISTING","April","1",749,"L","1",10,10
"512","0",6,"10","CHD",13,8,250,"0","EXISTING","April","1",1459,"S","1",10,9
"514","0",8,"5","PUBLIC",8,8,1300,"0","EXISTING","April","0",139,"L","1",9.69,10
"515","0",26,"5","PUBLIC",8,8,1261,"0","EXISTING","April","1",821,"L","1",10,10
"520","0",58,"5","Catholic",13,8,900,"0","EXISTING","April","1",1617,"L","1",9.27,9.38
"525","0",4,"6","PUBLIC",8,8,823,"0","NEW","April","0",172,"L","0",8,8.16
"531","0",29,"10","Catholic",13,8,500,"0","EXISTING","April","1",1663,"S-M","1",10,9.83
"533","0",14,"5","PUBLIC",9,8,657,"0","EXISTING","April","1",786,"M-L","0",10,9.71
"534","1",0,"5","Catholic",13,8,475,"0","EXISTING","April","0",1835,"S-M","0",10,9.03
"539","1",9,"5","CHD",13,12,1155,"0","NEW","April","0",256,"L","0",9,10
"540","1",10,"4","PUBLIC",12,5,700,"0","EXISTING","April","1",486,"M-L","0",10,9.64
"541","0",11,"10","PUBLIC",8,8,750,"0","NEW","April","1",1118,"M-L","1",10,9.705
"543","0",1,"4","PUBLIC",12,5,980,"0","NEW","April","0",93,"L","0",10,9.24
"556","0",7,"5","PUBLIC",8,8,923,"0","NEW","April","0",336,"L","0",7.91,7.25
"563","1",16,"1","Private non-Christian",13,8,143,"1","EXISTING","April","0",1719,"S","0",10,9
"571","0",21,"5","PUBLIC",8,8,460,"0","EXISTING","April","0",1569,"S-M","1",9,10
"575","0",33,"5","PUBLIC",9,8,460,"0","NEW","April","1",1654,"S-M","0",6,8.19
"576","0",5,"11","Catholic",13,8,164,"0","NEW","April","0",1247,"S","0",10,8.46
"581","0",14,"4","PUBLIC",6,5,450,"1","EXISTING","April","1",1084,"S-M","1",9.14,9.43166666666667
"583","0",0,"2","PUBLIC",13,8,429,"0","NEW","April","0",1304,"S-M","0",8,8.55
"588","0",17,"4","PUBLIC",12,5,556,"0","EXISTING","April","1",1349,"S-M","1",8,10
"590","0",27,"5","PUBLIC",8,8,1018,"0","EXISTING","April","1",947,"L","0",10,10
"598","0",58,"5","PUBLIC",9,8,1538,"0","EXISTING","April","1",1180,"L","1",10,10
"601","0",6,"7","CHD",1,7.78,552.49,"0","NEW","April","1",681.53,"","0",10,9.32
"615","0",31,"5","Private non-Christian",12,8,400,"0","EXISTING","April","1",1561,"S-M","1",9.79,10
"616","0",6,"5","PUBLIC",12,8,520,"0","NEW","April","0",589,"S-M","0",5,1
"622","0",3,"5","PUBLIC",8,8,1050,"0","EXISTING","April","1",110,"L","1",9.77,10
"624","0",9,"10","PUBLIC",12,8,1149,"0","NEW","April","0",306,"L","1",9,8.26
"638","0",38,"10","CHD",9,12,652,"0","EXISTING","April","1",1460,"M-L","1",10,10
"644","1",1,"5","PUBLIC",12,8,570,"0","EXISTING","April","0",179,"S-M","0",10,9.38
"651","0",11,"1","Catholic",12,8,135,"0","NEW","April","0",1662,"S","0",8.42,8.53
"670","0",1,"9","PUBLIC",11,12,1001,"0","EXISTING","April","0",806,"L","0",9.2,8.93
"671","1",0,"5","CHD",13,8,350,"0","EXISTING","April","0",1673,"S-M","0",9.18,8.86
"681","0",19,"2","Catholic",12,8,250,"0","EXISTING","April","1",1671,"S","1",9,9
"687","0",5,"5","PUBLIC",9,8,1000,"0","EXISTING","April","0",785,"L","1",8,10
"688","0",0,"4","Private non-Christian",12,6,280,"1","EXISTING","April","1",1854,"S","1",2,9
"689","0",16,"5","CHD",13,8,475,"1","EXISTING","April","1",1357,"S-M","0",7.94333333333333,7
"691","0",18,"11","Catholic",12,8,162,"1","EXISTING","April","1",1790,"S","1",9,10
"695","1",9,"10","CHD",13,8,147,"0","NEW","April","0",1256,"S","0",9,8.49
"697","0",52,"5","PUBLIC",8,8,425,"0","EXISTING","April","1",1834,"S-M","1",9,9.58
"705","1",12,"10","PUBLIC",13,8,375,"0","NEW","April","0",777,"S-M","0",8.32,8.065
"707","1",32,"8","PUBLIC",11,12,120,"1","EXISTING","April","0",1904,"S","0",8,9
"714","0",22,"7","PUBLIC",1,7.94,660.49,"1","EXISTING","April","1",1078.835,"","1",9.67,10
"715","0",10,"1","PUBLIC",12,8,36,"0","NEW","April","0",1902,"S","0",9,8.79
"743","0",35,"8","PUBLIC",11,12,600,"0","EXISTING","April","1",1245,"M-L","1",8.39,8
"752","1",11,"1","Private non-Christian",12,8,75,"0","EXISTING","April","0",1794,"S","0",10,9.59
"753","0",3,"6","PUBLIC",12,8,761,"0","NEW","April","0",42,"M-L","0",9.77,9.42
"759","0",37,"5","PUBLIC",8,8,667,"0","EXISTING","April","1",1609,"M-L","1",9,10
"763","0",26,"5","PUBLIC",8,8,1100,"0","EXISTING","April","1",884,"L","1",10,10
"770","0",13,"8","PUBLIC",11,12,3100,"0","NEW","April","0",85,"L","0",7.52,8.59
"776","1",21,"10","PUBLIC",6,8,525,"0","EXISTING","April","0",996,"S-M","0",8.35,8.38
"788","0",6,"5","PUBLIC",8,8,700,"0","EXISTING","April","1",382,"M-L","1",9,8.51
"794","0",6,"2","PUBLIC",8,8,593,"0","NEW","April","0",634,"M-L","0",8,9.21
"798","0",35,"5","Private non-Christian",13,8,620,"0","EXISTING","April","1",1525,"M-L","1",10,10
"804","0",13,"6","PUBLIC",12,6,558,"0","EXISTING","April","1",591,"S-M","0",9.11,9
"806","0",25,"5","PUBLIC",9,8,540,"0","EXISTING","April","1",1377,"S-M","1",9.85,9.86
"809","0",14,"8","PUBLIC",11,12,1000,"0","NEW","April","0",465,"L","0",9,8.57
"810","0",8,"10","PUBLIC",13,6,350,"0","EXISTING","April","0",1390,"S-M","1",8,9.03
"817","0",11,"10","PUBLIC",13,8,926,"0","NEW","April","1",443,"L","1",9,8.475
"821","0",12,"10","PUBLIC",9,8,400,"0","EXISTING","April","0",785,"S-M","0",10,9.77
"829","0",11,"8","CHD",11,12,784.6,"0","EXISTING","April","1",699.46,"","1",8,8.03
"834","0",61,"5","Private non-Christian",13,8,360,"1","EXISTING","April","1",1898,"S-M","1",8.77,10
"835","0",33,"2","PUBLIC",7,8,860,"0","EXISTING","April","1",1375,"L","1",10,10
"837","0",16,"10","PUBLIC",7,8,426,"0","EXISTING","April","1",1178,"S-M","0",10,9.64
"838","1",13,"6","PUBLIC",8,8,1026,"0","EXISTING","April","0",578,"L","0",9.54,9.115
"859","0",40,"5","CHD",12,8,800,"1","EXISTING","April","1",1427,"M-L","1",10,10
"867","0",0,"4","Private non-Christian",12,6,283,"0","EXISTING","April","1",1756,"S","1",10,10
"871","0",10,"10","Catholic",13,8,172,"0","EXISTING","April","1",1500,"S","0",10,9.35
"876","0",12,"6","PUBLIC",8,8,500,"0","EXISTING","April","0",725,"S-M","1",9,8.525
"878","0",16,"5","Catholic",12,8,270,"0","NEW","April","1",1206,"S","1",9,9.04
"879","1",21,"5","Catholic",13,8,351,"0","EXISTING","April","0",1406,"S-M","1",8,8.3
"882","0",4,"3","Private non-Christian",12,12,180,"0","NEW","April","0",1035,"S","0",10,9.54
"887","0",4,"5","PUBLIC",9,8,650,"0","NEW","April","1",449,"M-L","1",10,9.59
"891","0",21,"10","Catholic",12,8,340,"1","EXISTING","April","1",1753,"S-M","1",9,10
"896","0",17,"5","Catholic",13,8,343,"0","EXISTING","April","1",1380,"S-M","1",10,10
"899","0",17,"5","CHD",13,12,1100,"1","EXISTING","April","1",583,"L","1",10,9
"906","1",5,"10","Private non-Christian",13,8,180,"0","EXISTING","April","0",1108,"S","0",9.92,9.65
"913","0",12,"1","Catholic",13,7,285,"0","EXISTING","April","1",1276,"S","1",9,8
"919","0",28,"10","PUBLIC",8,8,696,"0","EXISTING","April","1",1191,"M-L","1",9.3,9.4
"921","0",54,"10","PUBLIC",8,8,822,"0","EXISTING","April","1",1496,"L","1",10,10
"935","0",0,"4","CHD",13,6,200,"1","EXISTING","April","1",1403,"S","1",10,9.56
"937","0",0,"7","CHD",1,8.04,655.29,"1","EXISTING","April","1",1259.14333333333,"","1",8.76,9
"946","0",0,"5","Private non-Christian",13,8,250,"1","EXISTING","April","1",1640,"S","1",10,10
"947","0",64,"5","Private non-Christian",12,8,575,"1","EXISTING","April","1",1782,"S-M","1",10,10
"948","0",47,"10","PUBLIC",8,8,1061,"0","EXISTING","April","1",1298,"L","1",10,9.4
"972","0",41,"5","CHD",12,12,854,"1","EXISTING","April","1",1347,"L","1",8,9
"974","0",31,"10","Catholic",8,8,274,"0","EXISTING","April","1",1807,"S","1",9,9.5
"982","1",23,"5","Catholic",12,8,350,"0","EXISTING","May","0",1546,"S-M","1",10,10
"991","0",27,"10","PUBLIC",7,8,694,"0","EXISTING","May","1",1231,"M-L","0",10,10
"997","0",26,"10","PUBLIC",8,8,673,"0","EXISTING","May","1",1199,"M-L","1",9,9.24
"1007","1",3,"10","CHD",13,8,107,"0","EXISTING","May","1",652,"S","0",10,10
"1010","1",5,"1","Private non-Christian",13,8,130,"0","NEW","May","0",1505,"S","0",10,8.72
"1022","0",29,"10","PUBLIC",8,8,1061,"0","EXISTING","May","1",1006,"L","1",10,9.85
"1029","0",30,"10","PUBLIC",7,8,335,"0","EXISTING","May","1",1823,"S","1",10,10
"1032","0",40,"10","PUBLIC",13,8,650,"0","EXISTING","May","1",1627,"M-L","1",10,10
"1036","0",31,"5","PUBLIC",8,8,950,"0","EXISTING","May","1",1029,"L","1",10,9.93
"1042","1",11,"10","CHD",13,8,112,"0","NEW","May","0",1769,"S","0",10,10
"1044","0",43,"5","Catholic",12,8,574,"1","EXISTING","May","1",1653,"S-M","1",10,10
"1045","0",0,"4","CHD",13,6,180,"1","EXISTING","May","1",1815,"S","1",10,10
"1048","0",0,"3","Private non-Christian",12,8,400,"1","EXISTING","May","1",1640,"S-M","1",9,9.4
"1054","0",53,"5","PUBLIC",8,8,1185,"0","EXISTING","May","0",1305,"L","1",9.24,9
"1061","1",17,"4","Private non-Christian",13,6,85,"1","NEW","May","0",1905,"S","0",8,10
"1066","0",6,"4","PUBLIC",5,5,341,"0","NEW","May","1",1189,"S-M","1",7,8.1
"1067","0",8,"4","PUBLIC",5,5,319,"0","NEW","May","1",1122,"S","1",10,8.96
"1069","0",19,"4","PUBLIC",12,5,495,"1","EXISTING","May","1",1170,"S-M","0",10,10
"1070","0",9,"4","PUBLIC",13,5,530,"1","EXISTING","May","1",932,"S-M","0",10,9.77
"1071","0",23,"10","PUBLIC",8,8,740,"0","EXISTING","May","1",1106,"M-L","1",10,10
"1079","0",29,"10","PUBLIC",8,8,672,"0","EXISTING","May","1",1040,"M-L","1",10,8
"1089","0",26,"5","Catholic",12,8,240,"0","EXISTING","May","1",1716,"S","1",9.87,10
"1092","0",15,"5","Private non-Christian",13,8,225,"0","EXISTING","May","1",1330,"S","1",9.86,10
"1095","0",6,"10","PUBLIC",12,8,960,"0","EXISTING","May","1",426,"L","1",9.625,9
"1096","1",3,"5","PUBLIC",8,8,1559,"0","EXISTING","May","1",38,"L","0",9.66,9.49
"1098","0",108,"10","PUBLIC",9,8,1000,"1","EXISTING","May","1",1880,"L","1",10,10
"1100","0",13,"5","Private non-Christian",13,8,310,"0","EXISTING","May","1",1369,"S","1",10,10
"1107","0",16,"5","PUBLIC",7,8,538,"0","EXISTING","May","1",1013,"S-M","1",10,9
"1108","0",83,"5","PUBLIC",9,8,655,"0","EXISTING","May","1",1887,"M-L","1",10,9
"1116","1",15,"7","Private non-Christian",1,7.9,180,"0","NEW","May","0",1815,"S","1",9,10
"1117","0",18,"10","CHD",13,12,700,"0","NEW","May","0",872,"M-L","0",10,9.32
"1123","0",0,"5","Catholic",13,8,400,"0","EXISTING","May","0",1542,"S-M","1",9.73,9.74
"1127","0",48,"10","PUBLIC",7,8,700,"0","NEW","May","1",1436,"M-L","1",10,9.48
"1130","0",0,"5","Private non-Christian",12,8,420,"1","EXISTING","May","1",1574,"S-M","1",9.14,9.11
"1136","1",19,"1","CHD",12,8,92,"1","NEW","May","0",1897,"S","0",7,8.52
"1138","0",32,"5","Private non-Christian",13,8,650,"1","EXISTING","May","1",1572,"M-L","1",9.8,10
"1141","0",5,"1","Private non-Christian",12,12,90,"0","NEW","May","0",1354,"S","1",9,8.21
"1142","1",19,"10","PUBLIC",8,8,983,"0","EXISTING","May","0",796,"L","0",9,9.56
"1143","0",34,"10","PUBLIC",8,8,628,"0","EXISTING","May","1",1746,"M-L","1",8,10
"1149","1",13,"5","PUBLIC",12,8,1030,"1","EXISTING","May","0",349,"L","1",10,10
"1154","0",34,"5","Catholic",13,8,668,"0","EXISTING","May","0",1336,"M-L","1",10,9
"1157","0",10,"7","CHD",1,7.97,496.686666666667,"0","EXISTING","May","1",938.35,"","1",9.87,10
"1158","1",2,"10","CHD",12,8,120,"1","NEW","May","0",1148,"S","0",10,8.93
"1166","0",29,"5","PUBLIC",12,8,360,"0","EXISTING","May","1",1608,"S-M","1",10,9.74
"1170","0",83,"10","PUBLIC",8,8,930,"1","EXISTING","May","1",1784,"L","1",8,10
"1176","0",19,"5","PUBLIC",9,8,360,"0","EXISTING","May","0",1476,"S-M","1",10,10
"1184","0",40,"5","PUBLIC",8,8,810,"0","NEW","May","1",1308,"M-L","1",10,9.57
"1187","0",0,"2","Private non-Christian",13,9,310,"0","EXISTING","May","1",1552,"S","0",9.01,9
"1200","0",29,"5","Catholic",13,8,653,"1","EXISTING","May","1",1224,"M-L","1",10,10
"1208","0",3,"8","PUBLIC",11,12,1388,"0","NEW","May","0",102,"L","0",9.81,9.42
"1211","0",67,"5","PUBLIC",8,8,1073,"0","EXISTING","May","0",1615,"L","1",10,9
"1234","0",94,"4","PUBLIC",12,6,855,"1","EXISTING","May","1",1850,"L","1",6.24,8.05
"1235","0",55,"5","Private non-Christian",13,12,812,"0","EXISTING","May","1",1438,"L","1",3,10
"1237","0",0,"10","PUBLIC",8,8,686,"0","NEW","May","1",905,"M-L","0",8,8.315
"1240","0",6,"4","PUBLIC",12,5,749,"0","EXISTING","May","1",631,"M-L","1",10,10
"1251","0",29,"4","Private non-Christian",12,6,280,"0","EXISTING","May","1",1730,"S","1",2,9
"1253","0",15,"10","PUBLIC",9,8,495,"0","NEW","May","0",1095,"S-M","1",10,8.65
"1264","1",22,"10","PUBLIC",13,12,450,"0","EXISTING","May","0",1197,"S-M","0",8,9.36
"1274","0",16,"7","Private non-Christian",1,8.85,111,"0","NEW","May","0",1845,"S","0",8,9.09
"1280","0",39,"5","Private non-Christian",13,8,900,"0","EXISTING","May","1",1341,"L","1",9,8.97
"1283","0",3,"11","CHD",9,8,100,"1","EXISTING","May","1",1749,"S","1",10,8
"1287","0",32,"10","PUBLIC",8,8,315,"0","EXISTING","May","1",1869,"S","1",10,9.26
"1288","0",27,"10","PUBLIC",8,8,220,"0","EXISTING","May","1",1808,"S","1",10,10
"1290","0",17,"10","PUBLIC",8,8,155,"0","NEW","May","0",1707,"S","0",8,9.45
"1291","1",15,"10","PUBLIC",13,7,442,"0","NEW","May","0",1412,"S-M","0",10,9.56
"1293","0",52,"10","PUBLIC",8,10,600,"0","EXISTING","May","1",1647,"M-L","1",9.09,9.39333333333333
"1294","1",18,"10","Catholic",9,12,189,"0","NEW","May","0",1506,"S","1",8,10
"1300","0",16,"10","PUBLIC",9,8,804,"0","NEW","May","1",833,"M-L","1",9,9
"1303","0",10,"5","PUBLIC",12,8,786,"1","EXISTING","May","1",847,"M-L","1",8.65,7.93
"1316","0",21,"10","PUBLIC",7,8,400,"0","NEW","May","0",1518,"S-M","1",10,9.68
"1321","0",19,"4","CHD",13,6,407,"1","EXISTING","May","1",1494,"S-M","1",10,9.015
"1326","0",13,"10","PUBLIC",8,8,594,"0","NEW","May","1",759,"M-L","0",9,8.71
"1333","0",7,"5","PUBLIC",8,8,1072,"1","EXISTING","May","1",253,"L","1",9.26,10
"1343","0",22,"10","PUBLIC",9,8,487,"0","EXISTING","May","1",1254,"S-M","1",9.53,9
"1350","0",9,"10","PUBLIC",7,6,372,"0","EXISTING","May","1",1414,"S-M","1",8,8
"1358","0",45,"5","PUBLIC",8,8,1000,"0","EXISTING","May","1",1255,"L","1",9,9.05
"1363","0",7,"1","Catholic",13,8,131,"0","NEW","May","0",1086,"S","0",9,8.67
"1364","0",4,"10","PUBLIC",9,8,756,"0","NEW","May","0",272,"M-L","0",10,9.15
"1366","0",26,"10","PUBLIC",9,8,609,"0","NEW","May","0",1114,"M-L","1",10,9.83
