"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"155","0",11,"10","CHD",8,8,649.188,"0","EXISTING","March","1",805.856,"","1",10,10
"156","0",13,"5","CHD",8,8,659.83,"0","EXISTING","March","1",948.03,"","1",10,9.64
"157","0",45,"5","CHD",13,12,750,"0","EXISTING","March","1",1315,"M-L","1",9.26,10
"158","0",4,"5","PUBLIC",8,8,789,"0","EXISTING","March","1",99,"M-L","1",10,8.57
"159","0",21,"10","PUBLIC",8,8,1792,"0","EXISTING","March","0",380,"L","1",10,9.54
"160","0",30,"10","PUBLIC",8,8,895,"0","EXISTING","March","1",1050,"L","1",10,10
"161","0",4,"7","CHD",1,7.86,586.17,"0","NEW","March","1",682.01,"","1",10,9.42
"163","0",19,"4","PUBLIC",8,6,642,"0","EXISTING","March","0",874,"M-L","1",10,9
"164","1",12,"10","PUBLIC",8,8,380,"0","NEW","March","0",903,"S-M","0",8,8
"165","0",10,"5","Catholic",12,8,300,"0","EXISTING","March","1",1341,"S","1",9.29,7
"166","0",1,"10","PUBLIC",12,8,331,"0","NEW","March","0",1049,"S","0",10,10
"167","0",29,"5","PUBLIC",9,8,704,"0","EXISTING","March","0",1218,"M-L","1",9,9
"168","0",5,"7","PUBLIC",8,8,663,"0","EXISTING","March","0",133,"M-L","1",10,9.17
"170","0",16,"5","CHD",13,12,580,"0","NEW","March","0",1087,"M-L","0",10,9.5
"172","0",0,"2","CHD",12,8,329,"1","EXISTING","March","0",1741,"S","1",9,10
"173","0",16,"4","PUBLIC",13,5,600,"0","EXISTING","March","1",1014,"M-L","1",10,10
"174","0",12,"5","PUBLIC",8,8,804,"0","NEW","March","1",457,"M-L","1",10,9.475
"177","0",4,"5","PUBLIC",8,8,966,"0","NEW","March","1",569,"L","0",9,8.89
"178","0",12,"4","PUBLIC",8,6,300,"0","NEW","March","1",1245,"S","0",10,9.41
"184","0",7,"10","PUBLIC",9,8,269,"0","EXISTING","March","0",615,"S","1",10,9.54
"185","0",6,"7","PUBLIC",9,9,977,"0","NEW","March","0",121,"L","0",10,8.39
"187","0",9,"10","PUBLIC",9,8,525,"0","EXISTING","March","0",733,"S-M","1",9.76,9
"188","0",11,"10","PUBLIC",12,8,400,"0","EXISTING","March","0",995,"S-M","1",10,9.75
"189","0",14,"10","PUBLIC",8,8,853,"0","EXISTING","March","1",742,"L","1",10,9.77
"190","0",25,"10","PUBLIC",8,8,620,"0","EXISTING","March","1",1161,"M-L","1",10,9.8
"191","0",15,"5","PUBLIC",8,8,620,"0","EXISTING","March","0",729,"M-L","1",10,9.64
"192","0",17,"5","PUBLIC",8,8,1138,"0","EXISTING","March","1",568,"L","1",10,10
"193","0",4,"5","PUBLIC",8,8,958,"0","EXISTING","March","1",46,"L","1",8.68,8.39
"195","0",0,"4","PUBLIC",5,6,500,"0","NEW","March","0",1413,"S-M","0",10,9.38
"196","0",8,"2","Private non-Christian",13,8,245,"0","NEW","March","0",1351,"S","0",10,10
"197","0",15,"10","PUBLIC",9,8,198,"0","NEW","March","0",1410,"S","1",10,9.57
"198","1",31,"10","PUBLIC",8,8,379,"0","NEW","March","0",1582,"S-M","0",10,9.2
"200","0",35,"5","Private non-Christian",13,12,700,"0","EXISTING","March","1",1187,"M-L","0",10,9.66
"201","0",21,"5","Catholic",13,8,482,"0","EXISTING","March","1",1282,"S-M","1",10,10
"202","0",4,"10","PUBLIC",8,8,512,"0","EXISTING","March","1",263,"S-M","1",10,10
"204","0",64,"10","PUBLIC",8,8,1016,"1","EXISTING","March","0",1630,"L","1",9,8
"205","0",3,"10","PUBLIC",8,8,757,"0","NEW","March","1",107,"M-L","1",9,8.51
"206","0",21,"5","CHD",13,12,1441,"0","EXISTING","March","1",488,"L","1",10,10
"207","0",12,"10","PUBLIC",8,8,1019,"0","EXISTING","March","1",296,"L","0",10,8
"208","1",23,"2","PUBLIC",9,12,430,"0","NEW","March","0",1589,"S-M","0",9,9.09
"209","0",10,"10","Catholic",13,8,357,"0","EXISTING","March","1",1119,"S-M","1",9,9.24
"210","1",15,"10","CHD",13,12,337,"0","NEW","March","0",1346,"S","0",9,9.21
"211","1",4,"5","PUBLIC",12,8,920,"0","EXISTING","March","0",76,"L","0",10,10
"213","0",6,"5","PUBLIC",8,8,812,"0","NEW","March","0",418,"L","0",10,9.41
"214","0",8,"10","PUBLIC",8,8,880,"0","NEW","March","0",324,"L","1",7.97333333333333,8.52
"216","1",32,"5","CHD",9,12,600,"1","EXISTING","March","0",1212,"M-L","1",10,10
"217","0",51,"10","PUBLIC",8,8,811,"0","NEW","March","1",1690,"M-L","0",9.29,9.13
"218","1",20,"10","Catholic",13,8,222,"0","NEW","March","1",1528,"S","0",10,9
"219","1",8,"7","PUBLIC",8,8,313,"0","EXISTING","March","0",850,"S","1",9,7
"220","0",1,"7","PUBLIC",8,8,1000,"0","EXISTING","March","1",9,"L","0",10,9.07
"221","0",32,"10","PUBLIC",8,8,692,"0","NEW","March","1",1329,"M-L","1",9.44,9.45
"224","0",0,"7","Private non-Christian",13,12,1020,"0","NEW","March","0",424,"L","0",9,8.475
"225","0",0,"5","Catholic",12,8,260,"1","EXISTING","March","1",1530,"S","1",10,8.87
"228","0",0,"5","Private non-Christian",8,12,480,"1","EXISTING","March","1",1564,"S-M","1",9.46,9.28
"231","0",72,"10","PUBLIC",8,8,760,"0","EXISTING","March","1",1638,"M-L","1",10,10
"232","0",13,"8","PUBLIC",11,12,1301,"0","NEW","March","0",597,"L","0",10,9.29
"233","1",28,"8","PUBLIC",11,12,450,"0","EXISTING","March","0",1554,"S-M","0",10,9.48
"234","0",27,"10","PUBLIC",7,8,423,"0","NEW","March","0",1620,"S-M","0",7,8.6
"237","0",20,"10","PUBLIC",8,8,470,"0","EXISTING","March","1",1104,"S-M","1",10,9.69
"238","0",38,"10","PUBLIC",9,8,644,"0","EXISTING","March","1",1517,"M-L","1",9,10
"239","0",6,"5","CHD",13,8,300,"1","EXISTING","March","0",1341,"S","1",10,9.43
"242","1",10,"8","PUBLIC",11,12,380,"0","EXISTING","March","0",666,"S-M","0",10,9.39
"244","0",10,"6","PUBLIC",11,12,1300,"0","EXISTING","March","0",171,"L","1",9.33,9.28
"246","0",15,"6","PUBLIC",11,12,2127,"0","EXISTING","March","0",195,"L","1",9.39,9.39
"247","0",7,"10","PUBLIC",8,8,925,"0","NEW","March","0",271,"L","1",10,9.08
"248","0",18,"5","PUBLIC",8,8,533,"0","EXISTING","March","0",1020,"S-M","1",9,9.13
"249","0",25,"10","PUBLIC",8,8,950,"0","EXISTING","March","1",760,"L","1",10,10
"250","0",30,"10","PUBLIC",12,8,982,"0","EXISTING","March","1",960,"L","1",10,10
"251","0",14,"10","PUBLIC",8,8,1101,"0","NEW","March","0",504,"L","1",10,9.53
"253","0",7,"5","PUBLIC",8,8,538,"0","EXISTING","March","1",1112,"S-M","1",8,9
"255","0",14,"5","Private non-Christian",12,12,745,"1","NEW","March","0",573,"M-L","0",8.16,8.42
"257","0",5,"6","PUBLIC",9,8,640,"0","NEW","March","0",194,"M-L","1",10,9.35
"258","0",30,"5","PUBLIC",8,8,950,"0","EXISTING","March","1",1090,"L","1",10,9.68
"259","0",33,"5","Private non-Christian",12,12,1500,"0","EXISTING","March","1",629,"L","0",6,9
"260","0",14,"5","PUBLIC",8,8,623,"0","EXISTING","March","1",931,"M-L","1",10,10
"263","0",4,"5","PUBLIC",8,8,445,"0","EXISTING","March","1",1475,"S-M","1",10,10
"264","0",7,"7","Private non-Christian",12,12,360,"0","NEW","March","0",811,"S-M","0",10,9.05
"265","0",1,"7","Private non-Christian",13,12,787,"0","NEW","March","0",67,"M-L","0",7.75,7.78
"267","0",16,"5","Catholic",13,8,800,"1","EXISTING","March","1",890,"M-L","1",10,10
"270","0",4,"8","PUBLIC",11,12,2778,"0","NEW","March","0",33,"L","0",10,9.08
"271","0",34,"5","Private non-Christian",8,8,336,"0","EXISTING","March","1",1679,"S","1",10,9
"272","0",0,"5","Private non-Christian",8,12,400,"1","EXISTING","March","1",1755,"S-M","0",8.84,8.69
"274","1",14,"5","Private non-Christian",12,12,402,"0","NEW","March","0",1033,"S-M","0",10,9.06
"275","0",15,"10","PUBLIC",13,12,1306,"0","NEW","March","1",484,"L","1",10,9.63
"276","0",5,"10","PUBLIC",13,12,375,"0","NEW","March","0",458,"S-M","0",10,9.19
"277","1",2,"5","PUBLIC",8,8,381,"0","NEW","March","1",307,"S-M","0",9,8.79
"278","1",14,"10","PUBLIC",9,12,120,"0","EXISTING","March","0",1706,"S","0",8,9.27
"279","0",7,"10","CHD",13,12,195,"1","NEW","March","0",1188,"S","0",10,8.75
"280","0",44,"10","Private non-Christian",13,12,752,"0","EXISTING","March","1",1430,"M-L","1",9,9.28
"281","0",17,"10","PUBLIC",8,8,300,"0","NEW","March","0",1273,"S","0",10,9.55
"282","1",14,"5","PUBLIC",8,8,750,"0","NEW","March","0",596,"M-L","1",10,9.57
"284","0",3,"1","CHD",12,8,56,"1","EXISTING","March","1",1557,"S","1",10,9.43
"285","0",4,"4","Private non-Christian",13,6,52,"0","NEW","March","0",1693,"S","0",10,9.1
"286","0",4,"4","PUBLIC",4,4,95,"0","NEW","March","0",1071,"S","0",8.09333333333333,8.48
"288","0",0,"10","CHD",13,8,460,"1","EXISTING","March","1",1492,"S-M","1",10,9.78
"289","0",0,"10","CHD",8,12,345,"1","EXISTING","March","1",1397,"S-M","1",9,8
"290","0",9,"10","PUBLIC",12,8,773,"0","EXISTING","March","1",438,"M-L","1",10,9.67
"291","0",10,"6","PUBLIC",8,8,1050,"0","EXISTING","March","1",341,"L","1",10,9.29
"292","0",20,"10","PUBLIC",8,8,708,"0","NEW","March","1",864,"M-L","1",10,9.77
"293","1",13,"7","PUBLIC",9,8,597,"0","EXISTING","March","1",694,"M-L","0",9.57,10
"294","1",5,"5","PUBLIC",8,8,780,"0","NEW","March","0",337,"M-L","0",10,9.15
"295","1",22,"5","PUBLIC",12,1,80,"0","EXISTING","March","0",1894,"S","0",10,9.635
"296","0",34,"10","PUBLIC",8,8,831,"0","EXISTING","March","1",1201,"L","1",10,10
"297","0",4,"5","CHD",8,8,654.68,"0","EXISTING","March","1",501.79,"","1",9.86,10
"298","0",15,"6","PUBLIC",9,12,3600,"0","EXISTING","March","1",45,"L","1",9,7
"299","0",8,"4","PUBLIC",5,5,618.685,"0","EXISTING","March","0",744.22,"","0",9,9.12
"300","0",5,"7","PUBLIC",8,8,331,"0","NEW","March","0",574,"S","0",8,8.51
"301","0",2,"4","PUBLIC",12,5,815,"0","EXISTING","March","1",62,"L","0",9.45,9
"303","1",7,"10","CHD",13,12,243,"0","NEW","March","0",1138,"S","0",9,8.615
"304","0",9,"10","Catholic",13,8,220,"0","EXISTING","March","1",884,"S","0",10,10
"305","0",27,"5","Catholic",13,8,375,"0","NEW","March","1",1451,"S-M","0",9,8.32
"306","1",2,"4","PUBLIC",12,6,680,"0","NEW","March","0",266,"M-L","0",7.87,8.25
"308","1",13,"10","Catholic",13,8,285,"0","NEW","March","0",1619,"S","0",8,8.465
"309","0",3,"9","PUBLIC",11,12,1853,"0","EXISTING","March","0",17,"L","0",10,8.73
"310","0",30,"5","PUBLIC",9,8,801,"0","EXISTING","March","1",1468,"M-L","1",10,10
"311","0",17,"10","PUBLIC",8,8,439,"0","EXISTING","March","1",1096,"S-M","1",9.35,10
"312","1",12,"4","PUBLIC",12,6,530,"1","EXISTING","March","0",1643,"S-M","0",10,10
"313","0",30,"10","CHD",8,8,698.22,"0","EXISTING","March","1",1378.54,"","1",10,10
"315","0",5,"5","PUBLIC",9,8,944,"0","EXISTING","March","1",130,"L","0",9.88,9.56
"316","1",15,"10","PUBLIC",8,8,633,"0","NEW","March","0",818,"M-L","0",10,9.18
"317","0",14,"10","PUBLIC",8,8,517,"0","EXISTING","March","0",781,"S-M","1",9,9.6
"318","0",28,"10","PUBLIC",9,8,884,"1","EXISTING","March","1",945,"L","1",10,10
"320","0",15,"10","PUBLIC",8,8,200,"0","NEW","March","0",1542,"S","0",10,9.03
"321","0",0,"8","PUBLIC",11,12,960,"0","EXISTING","March","1",986,"L","1",9,9
"322","0",17,"10","PUBLIC",9,8,746,"0","EXISTING","March","0",1010,"M-L","1",10,10
"324","0",10,"4","CHD",13,4,640,"1","EXISTING","March","1",1176,"M-L","1",8.83,9.31
"325","0",10,"4","CHD",13,4,640,"1","EXISTING","March","1",1220,"M-L","1",9.79,9.76
"326","0",11,"4","CHD",13,4,640,"1","EXISTING","March","1",1278,"M-L","1",9.81,9.81
"327","0",10,"4","CHD",13,4,640,"1","EXISTING","March","1",1159,"M-L","1",9.76,9.78
"328","0",50,"10","PUBLIC",7,8,402,"0","EXISTING","March","0",1838,"S-M","1",10,10
"329","0",57,"10","PUBLIC",8,8,750,"0","EXISTING","March","1",1622,"M-L","1",10,9.71
"330","0",27,"10","PUBLIC",7,8,550,"0","EXISTING","March","1",1514,"S-M","1",10,10
"331","0",33,"10","PUBLIC",8,8,376,"1","EXISTING","March","1",1739,"S-M","1",10,9.81
"332","0",40,"5","CHD",13,12,798,"1","EXISTING","March","1",1233,"M-L","1",10,10
"333","0",17,"4","PUBLIC",12,6,519,"0","NEW","March","1",1533,"S-M","1",4,8.1
"334","0",28,"10","PUBLIC",8,8,460,"0","EXISTING","March","1",1388,"S-M","1",10,10
"335","0",21,"10","PUBLIC",8,8,730,"0","EXISTING","March","1",910,"M-L","1",9,10
"336","1",13,"8","PUBLIC",11,12,492,"1","EXISTING","March","0",1153,"S-M","0",10,9.36
"338","1",15,"10","PUBLIC",7,12,650,"0","NEW","March","0",956,"M-L","0",10,9.49
"339","0",19,"10","PUBLIC",8,8,482,"0","NEW","March","0",1423,"S-M","0",8.24,8.405
"340","0",0,"5","Private non-Christian",13,8,320,"1","EXISTING","March","1",1680,"S","1",9,8
"341","0",46,"5","PUBLIC",8,8,1219,"0","EXISTING","March","0",1156,"L","1",10,10
"342","0",30,"10","PUBLIC",8,8,811,"0","EXISTING","March","1",1107,"M-L","1",10,10
"344","1",5,"5","PUBLIC",9,9,768,"0","EXISTING","March","0",263,"M-L","0",10,9.37
"345","0",31,"4","PUBLIC",13,5,635,"0","EXISTING","March","1",1591,"M-L","1",9.17,9.21
"346","0",16,"4","PUBLIC",12,5,563,"0","EXISTING","March","1",1307,"S-M","1",10,9.77
"347","0",11,"10","PUBLIC",8,8,535,"0","EXISTING","March","1",688,"S-M","1",10,10
"348","0",13,"4","PUBLIC",7,6,1057,"0","EXISTING","March","1",523,"L","1",10,10
"350","0",20,"10","PUBLIC",8,8,325,"0","NEW","March","1",1581,"S","1",10,9.665
"351","0",34,"10","PUBLIC",8,8,1200,"0","EXISTING","March","1",930,"L","1",10,10
"352","0",13,"10","PUBLIC",8,8,312,"0","NEW","March","0",1344,"S","1",10,9.63
"353","1",5,"10","PUBLIC",9,8,135,"0","EXISTING","March","1",1742,"S","0",10,9.49
"354","0",11,"10","PUBLIC",9,8,600,"0","NEW","March","1",755,"M-L","1",10,9.8
"355","0",30,"10","PUBLIC",8,8,349,"0","EXISTING","March","1",1642,"S-M","1",9,9
"356","0",35,"5","PUBLIC",8,8,1060,"0","EXISTING","March","0",970,"L","1",9.84,10
"357","0",24,"5","PUBLIC",8,8,800,"0","EXISTING","March","1",854,"M-L","1",10,10
"358","0",26,"5","PUBLIC",8,8,808,"0","EXISTING","March","1",902,"M-L","0",9,9.37
"359","0",19,"5","PUBLIC",7,8,715,"0","EXISTING","March","0",959,"M-L","1",10,9
"360","0",73,"5","PUBLIC",8,8,900,"0","EXISTING","March","1",1820,"L","1",10,9
"361","0",16,"5","PUBLIC",8,8,1100,"0","EXISTING","March","1",564,"L","1",10,10
